"","taxon","lfc_(Intercept)","lfc_bin_varSurface","se_(Intercept)","se_bin_varSurface","W_(Intercept)","W_bin_varSurface","p_(Intercept)","p_bin_varSurface","q_(Intercept)","q_bin_varSurface","diff_(Intercept)","diff_bin_varSurface"
"1","Bacteria_Proteobacteria",-0.174203078948796,0.352742649201914,0.117678189888153,0.167542792287032,-1.48033445377064,2.10538838697161,0.138784012874052,0.0352575138494092,1,0.810922818536411,FALSE,FALSE
"2","Bacteria_Firmicutes",0.160595661885392,-0.325903447083603,0.156000300791961,0.222103399254727,1.02945738610825,-1.46735010890053,0.303264794655135,0.142280839005808,1,1,FALSE,FALSE
"3","Bacteria_Actinobacteriota",0.166746962984779,-0.33837230066344,0.15120818415039,0.215280685514339,1.10276413887051,-1.5717726829744,0.27012960516831,0.116003278917152,1,1,FALSE,FALSE
"4","Bacteria_Bacteroidota",0.564002048788165,-1.14361909621085,0.192429082714415,0.273968403710559,2.93096054313787,-4.17427367799336,0.00337915698313481,2.98938226475231e-05,0.0912372385446398,0.000807133211483123,FALSE,TRUE
"5","Bacteria_Cyanobacteria",-0.0141258921821075,0.0282618652153832,0.0750879000224246,0.106905421035823,-0.188124746835228,0.264363256246032,0.850778862259718,0.791500021892598,1,1,FALSE,FALSE
"6","Bacteria_Campilobacterota",0.213664280712589,-0.433474971733326,0.0941393725434135,0.134029707247056,2.26965906973785,-3.23417084642514,0.0232282766248022,0.00121996453398645,0.603935192244857,0.0317190778836476,FALSE,TRUE
"7","Bacteria_Planctomycetota",0.18124003107866,-0.367750141394282,0.0902157457452177,0.128443494625272,2.00896228902777,-2.86312780937,0.0445411331866607,0.00419481317669963,1,0.104870329417491,FALSE,FALSE
"8","Eukaryota_NA",0.0400055160033837,-0.0814639621876396,0.0912471332716982,0.129911919201489,0.438430387552702,-0.627070731372165,0.661074322344291,0.530612871719763,1,1,FALSE,FALSE
"9","Eukaryota_Vertebrata",-0.036400460287331,0.0734130167800253,0.0742823136290435,0.105758477886002,-0.490028628740756,0.694157274645704,0.624113640571614,0.487583583436904,1,1,FALSE,FALSE
"10","Bacteria_Deinococcota",0.145381819033026,-0.295064576436915,0.112944824334515,0.16080372464395,1.28719328122943,-1.8349362061746,0.198026928498087,0.0665151422576938,1,1,FALSE,FALSE
"11","Bacteria_Patescibacteria",0.0989769894440752,-0.201000732675528,0.0867285204745162,0.123478603002257,1.14122769421805,-1.62781832470079,0.253775182472163,0.103563413781978,1,1,FALSE,FALSE
"12","Bacteria_Verrucomicrobiota",0.359318225109414,-0.728719453618782,0.101911005329956,0.145094468346155,3.52580394969174,-5.02237929484853,0.000422199387209778,5.10352709092919e-07,0.0118215828418738,1.42898758546017e-05,TRUE,TRUE
"13","Bacteria_Spirochaetota",0.344117023493952,-0.697906207100955,0.0948307145063169,0.13501399637489,3.62875071948372,-5.16913968802981,0.000284796076806444,2.35174073125812e-07,0.00825908622738688,6.82004812064855e-06,TRUE,TRUE
"14","Bacteria_Acidobacteriota",0.0304112103670294,-0.0620160453571919,0.0631805141479305,0.0899524352688931,0.481338443935812,-0.689431533140914,0.630275978255436,0.490551745402381,1,1,FALSE,FALSE
"15","Bacteria_Thermotogota",0.0419013942676333,-0.0853069586692267,0.0254962474974945,0.0362999507608973,1.64343377478396,-2.35005714556286,0.100293216889877,0.0187705290444567,1,0.45049269706696,FALSE,FALSE
"16","Bacteria_Bdellovibrionota",0.0183431871439815,-0.0375538361212839,0.0345958625963991,0.0492554094049905,0.530213319377987,-0.762430696951611,0.595964037266032,0.445802991013011,1,1,FALSE,FALSE
"17","Bacteria_Myxococcota",0.00999096027569867,-0.0206236465234133,0.023803126720169,0.0338893920755375,0.419733104526687,-0.608557582781194,0.674680438530286,0.542817727233267,1,1,FALSE,FALSE
"18","Bacteria_Elusimicrobiota",0.0398380882641694,-0.0811245816351783,0.0371628371655206,0.052910106060753,1.07198726746113,-1.53325305267823,0.283725751084454,0.125213517117742,1,1,FALSE,FALSE
"19","Bacteria_Fusobacteriota",0.0371006794031812,-0.075575779889932,0.0462429135843595,0.06583774676323,0.802299780170634,-1.1479095747569,0.422379569551387,0.251005895128854,1,1,FALSE,FALSE
"20","Bacteria_Desulfobacterota",0.0105400394495774,-0.0217366448488431,0.0333522580223252,0.0474848435674355,0.316021765078758,-0.457759638988255,0.751985987931309,0.647125135690477,1,1,FALSE,FALSE
"21","Bacteria_NA",0.0142981803363733,-0.0293544979977538,0.0230255008131967,0.032782257304577,0.620971524240573,-0.895438582066627,0.534618359240957,0.370552683817107,1,1,FALSE,FALSE
"22","Bacteria_Chloroflexi",-0.00500406660319959,0.00977167823111027,0.0226705705781375,0.0322769299987659,-0.220729627688563,0.302744970834707,0.825302960828953,0.762084223264676,1,1,FALSE,FALSE
"23","Bacteria_Gemmatimonadota",-0.0131555215606291,0.0262948977394133,0.0187651861789765,0.0267166897553397,-0.70106000735382,0.984212414794308,0.483265567175428,0.325011082892973,1,1,FALSE,FALSE
"24","Bacteria_Synergistota",0.00902581553698532,-0.0186672720530484,0.021434824047033,0.0305175519476839,0.421081858063336,-0.611689695328431,0.673695308642228,0.540743080945556,1,1,FALSE,FALSE
"25","Bacteria_WPS-2",0.0069209078904293,-0.0144005673640835,0.0132763439473564,0.0189020220179905,0.521296218135972,-0.761853274235813,0.602160435123764,0.446147580234891,1,1,FALSE,FALSE
"26","Bacteria_Armatimonadota",0.0061319140189233,-0.0128012554623821,0.012321607679492,0.0175427286742728,0.49765535297226,-0.729718603078875,0.618726981876842,0.465562207491757,1,1,FALSE,FALSE
"27","Bacteria_Fibrobacterota",0.00216667927280125,-0.00476361746348604,0.00825754541928347,0.0117565728900035,0.262387811726897,-0.405187592341345,0.793022468431695,0.685339624654569,1,1,FALSE,FALSE
"28","NA_NA",0.00516626356294369,-0.0108438558894505,0.0111998235579635,0.0159456031215874,0.461280799309582,-0.680053040751395,0.644597158645425,0.496470876861387,1,1,FALSE,FALSE
"29","Eukaryota_Euglenozoa",-0.00571562630031054,0.0112140289684973,0.00985547009884945,0.0140315973693339,-0.579944563068361,0.79919831458431,0.561952002841126,0.424175429082352,1,1,FALSE,FALSE
